day_type,hour,wm_start_time_step,wm_end_time_step,load_profile
7,1,-1,-1,[]
7,2,-1,-1,[]
7,3,-1,-1,[]
7,4,-1,-1,[]
7,5,-1,-1,[]
7,6,-1,-1,[]
7,7,-1,-1,[]
7,8,-1,-1,[]
7,9,-1,-1,[]
7,10,-1,-1,[]
7,11,-1,-1,[]
7,12,-1,-1,[]
7,13,-1,-1,[]
7,14,-1,-1,[]
7,15,-1,-1,[]
7,16,-1,-1,[]
7,17,-1,-1,[]
7,18,-1,-1,[]
7,19,-1,-1,[]
7,20,-1,-1,[]
7,21,-1,-1,[]
7,22,-1,-1,[]
7,23,-1,-1,[]
7,24,-1,-1,[]
1,1,-1,-1,[]
1,2,-1,-1,[]
1,3,-1,-1,[]
1,4,-1,-1,[]
1,5,-1,-1,[]
1,6,-1,-1,[]
1,7,-1,-1,[]
1,8,31,39,"[21.360000, 14.240000]"
1,9,31,39,"[21.360000, 14.240000]"
1,10,31,39,"[21.360000, 14.240000]"
1,11,31,39,"[21.360000, 14.240000]"
1,12,31,39,"[21.360000, 14.240000]"
1,13,31,39,"[21.360000, 14.240000]"
1,14,31,39,"[21.360000, 14.240000]"
1,15,31,39,"[21.360000, 14.240000]"
1,16,31,39,"[21.360000, 14.240000]"
1,17,-1,-1,[]
1,18,-1,-1,[]
1,19,-1,-1,[]
1,20,-1,-1,[]
1,21,-1,-1,[]
1,22,-1,-1,[]
1,23,-1,-1,[]
1,24,-1,-1,[]
2,1,-1,-1,[]
2,2,-1,-1,[]
2,3,-1,-1,[]
2,4,-1,-1,[]
2,5,-1,-1,[]
2,6,-1,-1,[]
2,7,-1,-1,[]
2,8,55,63,"[21.360000, 14.240000]"
2,9,55,63,"[21.360000, 14.240000]"
2,10,55,63,"[21.360000, 14.240000]"
2,11,55,63,"[21.360000, 14.240000]"
2,12,55,63,"[21.360000, 14.240000]"
2,13,55,63,"[21.360000, 14.240000]"
2,14,55,63,"[21.360000, 14.240000]"
2,15,55,63,"[21.360000, 14.240000]"
2,16,55,63,"[21.360000, 14.240000]"
2,17,-1,-1,[]
2,18,-1,-1,[]
2,19,-1,-1,[]
2,20,-1,-1,[]
2,21,-1,-1,[]
2,22,-1,-1,[]
2,23,-1,-1,[]
2,24,-1,-1,[]
3,1,-1,-1,[]
3,2,-1,-1,[]
3,3,-1,-1,[]
3,4,-1,-1,[]
3,5,-1,-1,[]
3,6,-1,-1,[]
3,7,-1,-1,[]
3,8,79,87,"[21.360000, 14.240000]"
3,9,79,87,"[21.360000, 14.240000]"
3,10,79,87,"[21.360000, 14.240000]"
3,11,79,87,"[21.360000, 14.240000]"
3,12,79,87,"[21.360000, 14.240000]"
3,13,79,87,"[21.360000, 14.240000]"
3,14,79,87,"[21.360000, 14.240000]"
3,15,79,87,"[21.360000, 14.240000]"
3,16,79,87,"[21.360000, 14.240000]"
3,17,-1,-1,[]
3,18,-1,-1,[]
3,19,-1,-1,[]
3,20,-1,-1,[]
3,21,-1,-1,[]
3,22,-1,-1,[]
3,23,-1,-1,[]
3,24,-1,-1,[]
4,1,-1,-1,[]
4,2,-1,-1,[]
4,3,-1,-1,[]
4,4,-1,-1,[]
4,5,-1,-1,[]
4,6,-1,-1,[]
4,7,-1,-1,[]
4,8,103,111,"[21.360000, 14.240000]"
4,9,103,111,"[21.360000, 14.240000]"
4,10,103,111,"[21.360000, 14.240000]"
4,11,103,111,"[21.360000, 14.240000]"
4,12,103,111,"[21.360000, 14.240000]"
4,13,103,111,"[21.360000, 14.240000]"
4,14,103,111,"[21.360000, 14.240000]"
4,15,103,111,"[21.360000, 14.240000]"
4,16,103,111,"[21.360000, 14.240000]"
4,17,-1,-1,[]
4,18,-1,-1,[]
4,19,-1,-1,[]
4,20,-1,-1,[]
4,21,-1,-1,[]
4,22,-1,-1,[]
