day_type,hour,wm_start_time_step,wm_end_time_step,load_profile
7,1,-1,-1,[]
7,2,-1,-1,[]
7,3,-1,-1,[]
7,4,-1,-1,[]
7,5,-1,-1,[]
7,6,-1,-1,[]
7,7,-1,-1,[]
7,8,-1,-1,[]
7,9,-1,-1,[]
7,10,9,18,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,11,9,18,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,12,9,18,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,13,9,18,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,14,9,18,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,15,9,18,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,16,9,18,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,17,9,18,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,18,9,18,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,19,9,18,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,20,-1,-1,[]
7,21,-1,-1,[]
7,22,-1,-1,[]
7,23,-1,-1,[]
7,24,-1,-1,[]
1,1,-1,-1,[]
1,2,-1,-1,[]
1,3,-1,-1,[]
1,4,-1,-1,[]
1,5,-1,-1,[]
1,6,-1,-1,[]
1,7,-1,-1,[]
1,8,-1,-1,[]
1,9,-1,-1,[]
1,10,33,42,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,11,33,42,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,12,33,42,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,13,33,42,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,14,33,42,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,15,33,42,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,16,33,42,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,17,33,42,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,18,33,42,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,19,33,42,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,20,-1,-1,[]
1,21,-1,-1,[]
1,22,-1,-1,[]
1,23,-1,-1,[]
1,24,-1,-1,[]
2,1,-1,-1,[]
2,2,-1,-1,[]
2,3,-1,-1,[]
2,4,-1,-1,[]
2,5,-1,-1,[]
2,6,-1,-1,[]
2,7,-1,-1,[]
2,8,-1,-1,[]
2,9,-1,-1,[]
2,10,57,66,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,11,57,66,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,12,57,66,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,13,57,66,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,14,57,66,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,15,57,66,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,16,57,66,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,17,57,66,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,18,57,66,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,19,57,66,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,20,-1,-1,[]
2,21,-1,-1,[]
2,22,-1,-1,[]
2,23,-1,-1,[]
2,24,-1,-1,[]
3,1,-1,-1,[]
3,2,-1,-1,[]
3,3,-1,-1,[]
3,4,-1,-1,[]
3,5,-1,-1,[]
3,6,-1,-1,[]
3,7,-1,-1,[]
3,8,-1,-1,[]
3,9,-1,-1,[]
3,10,81,90,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,11,81,90,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,12,81,90,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,13,81,90,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,14,81,90,"[44.000000, 52.800000, 44.000000, 35.200000]"
