electric_vehicle_charger_state,electric_vehicle_id,electric_vehicle_departure_time,electric_vehicle_required_soc_departure,electric_vehicle_estimated_arrival_time,electric_vehicle_estimated_soc_arrival
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
2,EV_B07_C002_Moto_Lineal_Electrica,-1.0,-0.1,7.0,16.997621774268982
1,EV_B07_C002_Moto_Lineal_Electrica,7.0,92.45404067172079,-1.0,16.997621774268982
1,EV_B07_C002_Moto_Lineal_Electrica,6.0,92.45404067172079,-1.0,16.997621774268982
1,EV_B07_C002_Moto_Lineal_Electrica,5.0,92.45404067172079,-1.0,16.997621774268982
1,EV_B07_C002_Moto_Lineal_Electrica,4.0,92.45404067172079,-1.0,16.997621774268982
1,EV_B07_C002_Moto_Lineal_Electrica,3.0,92.45404067172079,-1.0,16.997621774268982
1,EV_B07_C002_Moto_Lineal_Electrica,2.0,92.45404067172079,-1.0,16.997621774268982
1,EV_B07_C002_Moto_Lineal_Electrica,1.0,92.45404067172079,-1.0,16.997621774268982
1,EV_B07_C002_Moto_Lineal_Electrica,0.0,92.45404067172079,-1.0,16.997621774268982
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
2,EV_B07_C002_Moto_Lineal_Electrica,-1.0,-0.1,7.0,46.54464177577623
1,EV_B07_C002_Moto_Lineal_Electrica,7.0,91.06025396605956,-1.0,46.54464177577623
1,EV_B07_C002_Moto_Lineal_Electrica,6.0,91.06025396605956,-1.0,46.54464177577623
1,EV_B07_C002_Moto_Lineal_Electrica,5.0,91.06025396605956,-1.0,46.54464177577623
1,EV_B07_C002_Moto_Lineal_Electrica,4.0,91.06025396605956,-1.0,46.54464177577623
1,EV_B07_C002_Moto_Lineal_Electrica,3.0,91.06025396605956,-1.0,46.54464177577623
1,EV_B07_C002_Moto_Lineal_Electrica,2.0,91.06025396605956,-1.0,46.54464177577623
1,EV_B07_C002_Moto_Lineal_Electrica,1.0,91.06025396605956,-1.0,46.54464177577623
1,EV_B07_C002_Moto_Lineal_Electrica,0.0,91.06025396605956,-1.0,46.54464177577623
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
2,EV_B07_C002_Moto_Lineal_Electrica,-1.0,-0.1,8.0,18.36320360020487
1,EV_B07_C002_Moto_Lineal_Electrica,6.0,94.73774003993907,-1.0,18.36320360020487
1,EV_B07_C002_Moto_Lineal_Electrica,5.0,94.73774003993907,-1.0,18.36320360020487
1,EV_B07_C002_Moto_Lineal_Electrica,4.0,94.73774003993907,-1.0,18.36320360020487
1,EV_B07_C002_Moto_Lineal_Electrica,3.0,94.73774003993907,-1.0,18.36320360020487
1,EV_B07_C002_Moto_Lineal_Electrica,2.0,94.73774003993907,-1.0,18.36320360020487
1,EV_B07_C002_Moto_Lineal_Electrica,1.0,94.73774003993907,-1.0,18.36320360020487
1,EV_B07_C002_Moto_Lineal_Electrica,0.0,94.73774003993907,-1.0,18.36320360020487
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
2,EV_B07_C002_Moto_Lineal_Electrica,-1.0,-0.1,9.0,31.12724243909915
1,EV_B07_C002_Moto_Lineal_Electrica,5.0,78.54949242764854,-1.0,31.12724243909915
