month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
1,0,7,0,24.570738,0.0,97.615823,1.148155,0.0,0.08911,0.0,0.0
1,1,7,0,24.119018,0.0,98.0,1.148155,0.0,0.088014,0.0,0.0
1,2,7,0,24.059915,0.0,98.0,1.148155,0.0,0.086009,0.0,0.0
1,3,7,0,23.464146,0.0,98.0,1.148155,0.0,0.086804,0.0,0.0
1,4,7,0,23.5775,0.0,97.885728,1.148155,0.0,0.085849,0.0,0.0
1,5,7,0,23.563169,0.0,95.386554,1.148155,0.0,0.138867,0.0,0.0
1,6,7,0,22.83814,0.0,93.15248,1.148155,0.0,0.316066,0.0,0.0
1,7,7,0,23.674827,0.0,94.391882,1.541107,0.0,1.048568,0.0,0.0
1,8,7,0,23.392215,0.0,92.473722,1.541107,0.0,1.535223,0.0,0.0
1,9,7,0,24.617528,0.0,90.22598,1.541107,0.0,1.68271,0.0,0.0
1,10,7,0,24.870796,0.0,81.531534,1.541107,0.0,1.581988,0.0,0.0
1,11,7,0,25.05682,0.0,77.99446,1.541107,0.0,1.552999,0.0,24.068333930261975
1,12,7,0,25.737707,0.0,78.188606,1.541107,0.0,1.398137,0.0,82.74179760060002
1,13,7,0,26.022885,0.0,79.615244,1.541107,0.0,1.55182,0.0,267.7283357217179
1,14,7,0,26.133604,0.0,83.439169,1.541107,0.0,1.592738,0.0,208.03983606072808
1,15,7,0,26.372038,0.0,88.976327,1.541107,0.0,1.43477,0.0,108.90691074787847
1,16,7,0,25.918063,0.0,94.40841,1.541107,0.0,0.875104,0.0,112.37489260579703
1,17,7,0,26.019622,0.0,97.177402,1.541107,0.0,0.31485,0.0,117.81625902925484
1,18,7,0,25.374952,0.0,95.426531,10.656558,0.0,0.141722,0.0,463.57896954450376
1,19,7,0,24.711125,0.0,96.292793,10.656558,0.0,0.124163,0.0,0.0
1,20,7,0,23.877075,0.0,97.539016,10.656558,0.0,0.103757,0.0,0.0
1,21,7,0,23.47906,0.0,98.0,10.656558,0.0,0.105146,0.0,0.0
1,22,7,0,23.683191,0.0,98.0,9.850386,0.0,0.088398,0.0,0.0
1,23,7,0,23.554835,0.0,98.0,1.148155,0.0,0.087467,0.0,0.0
1,0,1,0,23.537381,0.0,97.454175,1.398733,0.0,4.341631,0.0,0.0
1,1,1,0,22.691472,0.0,97.6212,1.398733,0.0,4.346633,0.0,0.0
1,2,1,0,22.676109,0.0,97.6998,1.398733,0.0,4.251516,0.0,0.0
1,3,1,0,22.190379,0.0,97.866825,1.398733,0.0,4.444853,0.0,0.0
1,4,1,0,22.088575,0.0,98.0,1.398733,0.0,4.304351,0.0,0.0
1,5,1,0,23.753939,0.0,97.1514,1.398733,0.0,7.013052,0.0,0.0
1,6,1,0,25.108141,0.0,93.1378,1.398733,0.0,15.223604,0.0,0.0
1,7,1,0,24.760301,0.0,77.9019,4.673337,0.0,53.006006,0.0,0.0
1,8,1,0,24.973564,0.0,65.53395,4.673337,0.0,77.158834,0.0,0.0
1,9,1,0,25.132786,0.132786,58.96695,4.673337,0.0,84.84018,0.0,0.0
1,10,1,0,25.101538,0.101538,53.16198,4.673337,0.0,80.125677,0.0,0.0
1,11,1,0,24.605692,0.0,50.09742,4.673337,0.0,80.92864,0.0,33.994021281159114
1,12,1,0,25.455443,0.455443,51.40017,4.673337,0.0,71.377225,0.0,386.53884068594493
1,13,1,0,25.227193,0.227193,49.4844,4.673337,0.0,79.229564,0.0,513.5472668115757
1,14,1,0,25.15004,0.15004,49.96182,4.673337,0.0,78.946596,0.0,498.67056820593257
1,15,1,0,24.802121,0.0,54.63719,4.673337,0.0,71.453002,0.0,490.4379017478149
1,16,1,0,24.518717,0.0,67.44375,4.673337,0.0,43.066687,0.0,389.0775882298351
1,17,1,0,24.510953,0.0,84.32063,4.673337,0.0,15.495492,0.0,297.17228541997315
1,18,1,0,24.937474,0.0,92.78712,18.718277,0.0,6.84669,0.0,361.8099532134527
1,19,1,0,25.048201,0.0,94.340605,18.718277,0.0,6.197614,0.0,0.0
1,20,1,0,24.788992,0.0,95.13922,18.718277,0.0,5.120414,0.0,0.0
1,21,1,0,25.548834,0.0,95.10006,18.718277,0.0,5.090356,0.0,0.0
1,22,1,0,24.767256,0.0,95.115825,12.000178,0.0,4.401966,0.0,0.0
1,23,1,0,24.710446,0.0,95.056875,1.398733,0.0,4.384808,0.0,0.0
1,0,2,0,24.438604,0.0,95.273025,1.398733,0.0,4.407592,0.0,0.0
1,1,2,0,23.599342,0.0,95.9706,1.398733,0.0,4.328532,0.0,0.0
