day_type,hour,wm_start_time_step,wm_end_time_step,load_profile
7,1,-1,-1,[]
7,2,-1,-1,[]
7,3,-1,-1,[]
7,4,-1,-1,[]
7,5,-1,-1,[]
7,6,-1,-1,[]
7,7,6,17,"[18.800000, 16.450000, 11.750000]"
7,8,6,17,"[18.800000, 16.450000, 11.750000]"
7,9,6,17,"[18.800000, 16.450000, 11.750000]"
7,10,6,17,"[18.800000, 16.450000, 11.750000]"
7,11,6,17,"[18.800000, 16.450000, 11.750000]"
7,12,6,17,"[18.800000, 16.450000, 11.750000]"
7,13,6,17,"[18.800000, 16.450000, 11.750000]"
7,14,6,17,"[18.800000, 16.450000, 11.750000]"
7,15,6,17,"[18.800000, 16.450000, 11.750000]"
7,16,6,17,"[18.800000, 16.450000, 11.750000]"
7,17,6,17,"[18.800000, 16.450000, 11.750000]"
7,18,6,17,"[18.800000, 16.450000, 11.750000]"
7,19,-1,-1,[]
7,20,-1,-1,[]
7,21,-1,-1,[]
7,22,-1,-1,[]
7,23,-1,-1,[]
7,24,-1,-1,[]
1,1,-1,-1,[]
1,2,-1,-1,[]
1,3,-1,-1,[]
1,4,-1,-1,[]
1,5,-1,-1,[]
1,6,-1,-1,[]
1,7,30,41,"[18.800000, 16.450000, 11.750000]"
1,8,30,41,"[18.800000, 16.450000, 11.750000]"
1,9,30,41,"[18.800000, 16.450000, 11.750000]"
1,10,30,41,"[18.800000, 16.450000, 11.750000]"
1,11,30,41,"[18.800000, 16.450000, 11.750000]"
1,12,30,41,"[18.800000, 16.450000, 11.750000]"
1,13,30,41,"[18.800000, 16.450000, 11.750000]"
1,14,30,41,"[18.800000, 16.450000, 11.750000]"
1,15,30,41,"[18.800000, 16.450000, 11.750000]"
1,16,30,41,"[18.800000, 16.450000, 11.750000]"
1,17,30,41,"[18.800000, 16.450000, 11.750000]"
1,18,30,41,"[18.800000, 16.450000, 11.750000]"
1,19,-1,-1,[]
1,20,-1,-1,[]
1,21,-1,-1,[]
1,22,-1,-1,[]
1,23,-1,-1,[]
1,24,-1,-1,[]
2,1,-1,-1,[]
2,2,-1,-1,[]
2,3,-1,-1,[]
2,4,-1,-1,[]
2,5,-1,-1,[]
2,6,-1,-1,[]
2,7,54,65,"[18.800000, 16.450000, 11.750000]"
2,8,54,65,"[18.800000, 16.450000, 11.750000]"
2,9,54,65,"[18.800000, 16.450000, 11.750000]"
2,10,54,65,"[18.800000, 16.450000, 11.750000]"
2,11,54,65,"[18.800000, 16.450000, 11.750000]"
2,12,54,65,"[18.800000, 16.450000, 11.750000]"
2,13,54,65,"[18.800000, 16.450000, 11.750000]"
2,14,54,65,"[18.800000, 16.450000, 11.750000]"
2,15,54,65,"[18.800000, 16.450000, 11.750000]"
2,16,54,65,"[18.800000, 16.450000, 11.750000]"
2,17,54,65,"[18.800000, 16.450000, 11.750000]"
2,18,54,65,"[18.800000, 16.450000, 11.750000]"
2,19,-1,-1,[]
2,20,-1,-1,[]
2,21,-1,-1,[]
2,22,-1,-1,[]
2,23,-1,-1,[]
2,24,-1,-1,[]
3,1,-1,-1,[]
3,2,-1,-1,[]
3,3,-1,-1,[]
3,4,-1,-1,[]
3,5,-1,-1,[]
3,6,-1,-1,[]
3,7,78,89,"[18.800000, 16.450000, 11.750000]"
3,8,78,89,"[18.800000, 16.450000, 11.750000]"
3,9,78,89,"[18.800000, 16.450000, 11.750000]"
3,10,78,89,"[18.800000, 16.450000, 11.750000]"
3,11,78,89,"[18.800000, 16.450000, 11.750000]"
3,12,78,89,"[18.800000, 16.450000, 11.750000]"
3,13,78,89,"[18.800000, 16.450000, 11.750000]"
3,14,78,89,"[18.800000, 16.450000, 11.750000]"
3,15,78,89,"[18.800000, 16.450000, 11.750000]"
3,16,78,89,"[18.800000, 16.450000, 11.750000]"
