day_type,hour,wm_start_time_step,wm_end_time_step,load_profile
7,1,-1,-1,[]
7,2,-1,-1,[]
7,3,-1,-1,[]
7,4,-1,-1,[]
7,5,-1,-1,[]
7,6,-1,-1,[]
7,7,-1,-1,[]
7,8,-1,-1,[]
7,9,-1,-1,[]
7,10,-1,-1,[]
7,11,-1,-1,[]
7,12,-1,-1,[]
7,13,-1,-1,[]
7,14,-1,-1,[]
7,15,-1,-1,[]
7,16,-1,-1,[]
7,17,-1,-1,[]
7,18,-1,-1,[]
7,19,-1,-1,[]
7,20,-1,-1,[]
7,21,-1,-1,[]
7,22,-1,-1,[]
7,23,-1,-1,[]
7,24,-1,-1,[]
1,1,-1,-1,[]
1,2,-1,-1,[]
1,3,-1,-1,[]
1,4,-1,-1,[]
1,5,-1,-1,[]
1,6,-1,-1,[]
1,7,30,39,"[6.660000, 5.180000, 2.960000]"
1,8,30,39,"[6.660000, 5.180000, 2.960000]"
1,9,30,39,"[6.660000, 5.180000, 2.960000]"
1,10,30,39,"[6.660000, 5.180000, 2.960000]"
1,11,30,39,"[6.660000, 5.180000, 2.960000]"
1,12,30,39,"[6.660000, 5.180000, 2.960000]"
1,13,30,39,"[6.660000, 5.180000, 2.960000]"
1,14,30,39,"[6.660000, 5.180000, 2.960000]"
1,15,30,39,"[6.660000, 5.180000, 2.960000]"
1,16,30,39,"[6.660000, 5.180000, 2.960000]"
1,17,-1,-1,[]
1,18,-1,-1,[]
1,19,-1,-1,[]
1,20,-1,-1,[]
1,21,-1,-1,[]
1,22,-1,-1,[]
1,23,-1,-1,[]
1,24,-1,-1,[]
2,1,-1,-1,[]
2,2,-1,-1,[]
2,3,-1,-1,[]
2,4,-1,-1,[]
2,5,-1,-1,[]
2,6,-1,-1,[]
2,7,54,63,"[6.660000, 5.180000, 2.960000]"
2,8,54,63,"[6.660000, 5.180000, 2.960000]"
2,9,54,63,"[6.660000, 5.180000, 2.960000]"
2,10,54,63,"[6.660000, 5.180000, 2.960000]"
2,11,54,63,"[6.660000, 5.180000, 2.960000]"
2,12,54,63,"[6.660000, 5.180000, 2.960000]"
2,13,54,63,"[6.660000, 5.180000, 2.960000]"
2,14,54,63,"[6.660000, 5.180000, 2.960000]"
2,15,54,63,"[6.660000, 5.180000, 2.960000]"
2,16,54,63,"[6.660000, 5.180000, 2.960000]"
2,17,-1,-1,[]
2,18,-1,-1,[]
2,19,-1,-1,[]
2,20,-1,-1,[]
2,21,-1,-1,[]
2,22,-1,-1,[]
2,23,-1,-1,[]
2,24,-1,-1,[]
3,1,-1,-1,[]
3,2,-1,-1,[]
3,3,-1,-1,[]
3,4,-1,-1,[]
3,5,-1,-1,[]
3,6,-1,-1,[]
3,7,78,87,"[6.660000, 5.180000, 2.960000]"
3,8,78,87,"[6.660000, 5.180000, 2.960000]"
3,9,78,87,"[6.660000, 5.180000, 2.960000]"
3,10,78,87,"[6.660000, 5.180000, 2.960000]"
3,11,78,87,"[6.660000, 5.180000, 2.960000]"
3,12,78,87,"[6.660000, 5.180000, 2.960000]"
3,13,78,87,"[6.660000, 5.180000, 2.960000]"
3,14,78,87,"[6.660000, 5.180000, 2.960000]"
3,15,78,87,"[6.660000, 5.180000, 2.960000]"
3,16,78,87,"[6.660000, 5.180000, 2.960000]"
3,17,-1,-1,[]
3,18,-1,-1,[]
3,19,-1,-1,[]
3,20,-1,-1,[]
3,21,-1,-1,[]
3,22,-1,-1,[]
3,23,-1,-1,[]
3,24,-1,-1,[]
4,1,-1,-1,[]
4,2,-1,-1,[]
4,3,-1,-1,[]
4,4,-1,-1,[]
4,5,-1,-1,[]
4,6,-1,-1,[]
4,7,102,111,"[6.660000, 5.180000, 2.960000]"
4,8,102,111,"[6.660000, 5.180000, 2.960000]"
4,9,102,111,"[6.660000, 5.180000, 2.960000]"
