month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
1,0,7,0,22.804463,0.0,79.63512,26.556822,0.0,7.203098,0.0,0.0
1,1,7,0,22.947585,0.0,80.22634,25.867425,0.0,5.461274,0.0,0.0
1,2,7,0,23.499117,0.0,80.22634,25.391918,0.0,5.318103,0.0,0.0
1,3,7,0,23.197744,0.0,80.22634,26.003147,0.0,5.505678,0.0,0.0
1,4,7,0,22.507581,0.0,80.22634,25.780344,0.0,5.386865,0.0,0.0
1,5,7,0,22.998439,0.0,79.63512,26.225146,0.0,7.45148,0.0,0.0
1,6,7,0,22.812961,0.0,79.0439,27.170573,0.0,9.059602,0.0,9.49088009426329
1,7,7,0,23.044589,0.0,77.56585,29.074717,0.0,13.551303,0.0,25.414833247987012
1,8,7,0,22.517544,0.0,74.60975,29.332763,0.0,22.934128,0.0,40.55048347099725
1,9,7,0,23.072532,0.0,70.1756,32.029339,0.0,35.810235,0.0,64.95937327725453
1,10,7,0,23.070614,0.070614,61.3073,34.656802,0.0,63.523361,0.0,76.5410502270979
1,11,7,0,23.472688,0.472688,56.87315,37.331494,0.0,79.156498,0.0,130.22790875836156
1,12,7,0,23.094994,0.094994,55.3951,37.683936,0.0,80.897341,0.0,125.26877024287936
1,13,7,0,23.153164,0.153164,55.98632,38.356013,0.0,80.555872,0.0,145.27631739496354
1,14,7,0,22.552065,0.0,56.87315,37.17528,0.0,78.035597,0.0,161.591783813233
1,15,7,0,23.675819,0.675819,55.98632,38.744278,0.0,80.879625,0.0,127.13517887820632
1,16,7,0,22.425306,0.0,55.3951,39.016976,0.0,82.282316,0.0,73.2251345525965
1,17,7,0,23.330541,0.330541,54.80388,38.282969,0.0,84.856699,0.0,17.465935680511777
1,18,7,0,22.901029,0.0,53.91705,38.661488,0.0,83.975736,0.0,0.0
1,19,7,0,22.735806,0.0,55.98632,38.671124,0.0,80.227044,0.0,0.0
1,20,7,0,22.803114,0.0,59.82925,36.40918,0.0,67.836571,0.0,0.0
1,21,7,0,22.798396,0.0,67.2195,34.096849,0.0,46.543986,0.0,0.0
1,22,7,0,23.114057,0.0,76.0878,30.237608,0.0,18.428046,0.0,0.0
1,23,7,0,22.966982,0.0,79.0439,28.809279,0.0,9.118768,0.0,0.0
1,0,1,0,23.444771,0.0,79.704,25.209319,0.0,7.080469,0.0,0.0
1,1,1,0,22.451119,0.0,80.278,25.438337,0.0,5.26277,0.0,0.0
1,2,1,0,22.999076,0.0,80.278,26.431757,0.0,5.37498,0.0,0.0
