electric_vehicle_charger_state,electric_vehicle_id,electric_vehicle_departure_time,electric_vehicle_required_soc_departure,electric_vehicle_estimated_arrival_time,electric_vehicle_estimated_soc_arrival
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
2,EV_B10_C002_Mototaxi_Electrica,-1.0,-0.1,8.0,35.81887205161868
1,EV_B10_C002_Mototaxi_Electrica,7.0,80.93813952088169,-1.0,35.81887205161868
1,EV_B10_C002_Mototaxi_Electrica,6.0,80.93813952088169,-1.0,35.81887205161868
1,EV_B10_C002_Mototaxi_Electrica,5.0,80.93813952088169,-1.0,35.81887205161868
1,EV_B10_C002_Mototaxi_Electrica,4.0,80.93813952088169,-1.0,35.81887205161868
1,EV_B10_C002_Mototaxi_Electrica,3.0,80.93813952088169,-1.0,35.81887205161868
1,EV_B10_C002_Mototaxi_Electrica,2.0,80.93813952088169,-1.0,35.81887205161868
1,EV_B10_C002_Mototaxi_Electrica,1.0,80.93813952088169,-1.0,35.81887205161868
1,EV_B10_C002_Mototaxi_Electrica,0.0,80.93813952088169,-1.0,35.81887205161868
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
2,EV_B10_C002_Mototaxi_Electrica,-1.0,-0.1,8.0,50.01408950043151
1,EV_B10_C002_Mototaxi_Electrica,7.0,80.5620553957983,-1.0,50.01408950043151
1,EV_B10_C002_Mototaxi_Electrica,6.0,80.5620553957983,-1.0,50.01408950043151
1,EV_B10_C002_Mototaxi_Electrica,5.0,80.5620553957983,-1.0,50.01408950043151
1,EV_B10_C002_Mototaxi_Electrica,4.0,80.5620553957983,-1.0,50.01408950043151
1,EV_B10_C002_Mototaxi_Electrica,3.0,80.5620553957983,-1.0,50.01408950043151
1,EV_B10_C002_Mototaxi_Electrica,2.0,80.5620553957983,-1.0,50.01408950043151
1,EV_B10_C002_Mototaxi_Electrica,1.0,80.5620553957983,-1.0,50.01408950043151
1,EV_B10_C002_Mototaxi_Electrica,0.0,80.5620553957983,-1.0,50.01408950043151
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
3,NONE,-1.0,-0.1,-1.0,-0.1
2,EV_B10_C002_Mototaxi_Electrica,-1.0,-0.1,8.0,35.86231731539283
1,EV_B10_C002_Mototaxi_Electrica,7.0,81.6411995482455,-1.0,35.86231731539283
1,EV_B10_C002_Mototaxi_Electrica,6.0,81.6411995482455,-1.0,35.86231731539283
1,EV_B10_C002_Mototaxi_Electrica,5.0,81.6411995482455,-1.0,35.86231731539283
1,EV_B10_C002_Mototaxi_Electrica,4.0,81.6411995482455,-1.0,35.86231731539283
1,EV_B10_C002_Mototaxi_Electrica,3.0,81.6411995482455,-1.0,35.86231731539283
1,EV_B10_C002_Mototaxi_Electrica,2.0,81.6411995482455,-1.0,35.86231731539283
